t,GAS_PRICE,POWER_PRICE,HEAT_PRICE,heat_demand,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,ngas_grid.gas_balance,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin,arc01_expanded.power,arc02_expanded.power,arc03_expanded.heat,arc04_expanded.heat,arc05_expanded.heat,arc06_expanded.gas,arc07_expanded.gas,arc08_expanded.heat
33,0.1543,0.251,0.105,178.67897818859018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864032005,117.03958691910668,68.0,0.5810000000228399,0.3179999999876268,0.0,1.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,63.32102181140982,1.0,0.0,0.0,-63.32102181140982,109.82400000581919,162.46498599439482,-37.21858864032005,0.0,37.21858864032005,0.0,63.32102181140982,242.0,0.0,37.21858864032005,0.0,68.0,174.0,162.46498599439482,0.0,0.0
34,0.1543,0.251,0.105,165.75179782570095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,8.248202174299053,1.0,0.0,0.0,-8.248202174299053,118.07220218011824,162.46498599439482,0.0,0.0,0.0,0.0,8.248202174299053,174.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
35,0.1543,0.251,0.105,162.13029755988526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,11.869702440114736,1.0,0.0,0.0,-11.869702440114736,129.94190462023298,162.46498599439482,0.0,0.0,0.0,0.0,11.869702440114736,174.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
36,0.1543,0.251,0.105,143.49828864570688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,30.50171135429312,1.0,0.0,0.0,-30.50171135429312,160.4436159745261,162.46498599439482,0.0,0.0,0.0,0.0,30.50171135429312,174.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
37,0.1543,0.251,0.105,157.27609530737038,1.0,26.372168284790547,93.85113268603715,58.0,0.6179999999651684,0.2810000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,74.72390469262962,1.0,0.0,0.0,-74.72390469262962,235.1675206671557,256.31611868043194,-26.372168284790547,0.0,26.372168284790547,0.0,74.72390469262962,232.0,26.372168284790547,0.0,58.0,0.0,174.0,162.46498599439482,93.85113268603715,0.0
38,0.1543,0.251,0.105,168.5615827139588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,5.438417286041187,1.0,0.0,0.0,-5.438417286041187,240.6059379531969,162.46498599439482,0.0,0.0,0.0,0.0,5.438417286041187,174.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
39,0.1543,0.251,0.105,191.0740243862453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,17.0740243862453,1.0,17.0740243862453,223.5319135669516,162.46498599439482,0.0,0.0,0.0,0.0,0.0,191.0740243862453,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,17.0740243862453
40,0.1543,0.251,0.105,209.9782588863518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,35.978258886351796,1.0,35.978258886351796,187.5536546805998,162.46498599439482,0.0,0.0,0.0,0.0,0.0,209.9782588863518,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,35.978258886351796
41,0.1543,0.251,0.105,203.1153153118056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,29.115315311805603,1.0,29.115315311805603,158.4383393687942,162.46498599439482,0.0,0.0,0.0,0.0,0.0,203.1153153118056,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,29.115315311805603
42,0.1543,0.251,0.105,221.8500904881562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,47.85009048815621,1.0,47.85009048815621,110.58824888063799,162.46498599439482,0.0,0.0,0.0,0.0,0.0,221.8500904881562,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,47.85009048815621
43,0.1543,0.251,0.105,195.40575876553453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,21.40575876553453,1.0,21.40575876553453,89.18249011510346,162.46498599439482,0.0,0.0,0.0,0.0,0.0,195.40575876553453,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,21.40575876553453
44,0.1543,0.251,0.105,174.19685671830308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,0.19685671830308138,1.0,0.19685671830308138,88.98563339680038,162.46498599439482,0.0,0.0,0.0,0.0,0.0,174.19685671830308,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.19685671830308138
45,0.1543,0.251,0.105,130.24971892765575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,43.75028107234425,1.0,0.0,0.0,-43.75028107234425,132.73591446914463,162.46498599439482,0.0,0.0,0.0,0.0,43.75028107234425,174.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
46,0.1543,0.251,0.105,127.61617203724172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,46.383827962758275,1.0,0.0,0.0,-46.383827962758275,179.11974243190292,162.46498599439482,0.0,0.0,0.0,0.0,46.383827962758275,174.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
47,0.1543,0.251,0.105,130.5747347277373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,161.4229853653245,150.5456922227703,1.0734077617986604,1.0,0.0,30.8482506375872,1.0,0.0,0.0,-30.8482506375872,209.96799306949012,150.5456922227703,0.0,0.0,0.0,0.0,30.8482506375872,161.4229853653245,0.0,0.0,0.0,0.0,161.4229853653245,150.5456922227703,0.0,0.0
48,0.1543,0.251,0.105,131.10708315330484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,42.89291684669516,1.0,0.0,0.0,-42.89291684669516,252.86090991618528,162.46498599439482,0.0,0.0,0.0,0.0,42.89291684669516,174.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
49,0.1543,0.251,0.105,140.1480066658329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,33.851993334167105,1.0,0.0,0.0,-33.851993334167105,286.7129032503524,162.46498599439482,0.0,0.0,0.0,0.0,33.851993334167105,174.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
50,0.1543,0.251,0.105,160.71290325035235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,13.287096749647645,1.0,0.0,0.0,-13.287096749647645,300.0,162.46498599439482,0.0,0.0,0.0,0.0,13.287096749647645,174.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
