t,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,ngas_grid.gas_balance,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin
43,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,21.40575876553453,1.0,21.40575876553453,265.0641693333559,0.0,0.0,0.0,162.46498599439482,0.0,0.0,195.40575876553453
44,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439536,1.070999999987968,1.0,0.0,0.0,0.0,0.19685671830251295,1.0,0.19685671830251295,264.8673126150534,0.0,0.0,0.0,162.46498599439536,0.0,0.0,174.19685671830308
45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,43.75028107234425,1.0,0.0,0.0,-43.75028107234425,308.61759368739763,0.0,0.0,0.0,162.46498599439482,0.0,43.75028107234425,174.0
46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127.61617203724118,118.50682201036452,1.0798797868727306,1.0,0.0,0.0,1.0,0.0,0.0,0.0,308.61759368739763,0.0,0.0,0.0,118.50682201036452,0.0,0.0,127.61617203724172
47,0.0,0.0,0.0,0.0,0.0,0.0,1.0,130.5747347277367,121.3106652811324,1.0793133953666671,1.0,0.0,0.0,1.0,0.0,0.0,0.0,308.61759368739763,0.0,0.0,0.0,121.3106652811324,0.0,0.0,130.5747347277373
48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,42.89291684669516,1.0,0.0,0.0,-42.89291684669516,351.51051053409276,0.0,0.0,0.0,162.46498599439482,0.0,42.89291684669516,174.0
49,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,33.851993334167105,1.0,0.0,0.0,-33.851993334167105,385.36250386825986,0.0,0.0,0.0,162.46498599439482,0.0,33.851993334167105,174.0
50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,13.287096749647645,1.0,0.0,0.0,-13.287096749647645,398.64960061790754,0.0,0.0,0.0,162.46498599439482,0.0,13.287096749647645,174.0
51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,90.68121764584258,1.0,90.68121764584258,307.96838297206494,-37.21858864031884,0.0,37.21858864031884,162.46498599439482,0.0,0.0,332.6812176458411
52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,41.53149086466209,1.0,41.53149086466209,266.43689210740285,0.0,0.0,0.0,162.46498599439482,0.0,0.0,215.5314908646621
53,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,70.69765472550557,1.0,70.69765472550557,195.73923738189728,0.0,0.0,0.0,162.46498599439482,0.0,0.0,244.69765472550557
54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,53.71935900033648,1.0,53.71935900033648,142.0198783815608,0.0,0.0,0.0,162.46498599439482,0.0,0.0,227.71935900033648
55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,50.44329903641241,1.0,50.44329903641241,91.57657934514839,0.0,0.0,0.0,162.46498599439482,0.0,0.0,224.4432990364124
56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,24.582767528554427,1.0,24.582767528554427,66.99381181659396,0.0,0.0,0.0,162.46498599439482,0.0,0.0,198.58276752855443
57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,9.364466812941686,1.0,9.364466812941686,57.629345003652276,0.0,0.0,0.0,162.46498599439482,0.0,0.0,183.36446681294169
58,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,6.62251404022814,1.0,0.0,0.0,-6.62251404022814,64.25185904388042,0.0,0.0,0.0,162.46498599439482,0.0,6.62251404022814,174.0
59,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,13.06629391947692,1.0,0.0,0.0,-13.06629391947692,77.31815296335733,0.0,0.0,0.0,162.46498599439482,0.0,13.06629391947692,174.0
60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,26.435894710547245,1.0,0.0,0.0,-26.435894710547245,103.75404767390458,0.0,0.0,0.0,162.46498599439482,0.0,26.435894710547245,174.0
61,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,24.062860280995068,1.0,0.0,0.0,-24.062860280995068,127.81690795489965,0.0,0.0,0.0,162.46498599439482,0.0,24.062860280995068,174.0
62,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,20.894903076891183,1.0,0.0,0.0,-20.894903076891183,148.71181103179083,0.0,0.0,0.0,162.46498599439482,0.0,20.894903076891183,174.0
63,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,0.0,0.0,90.85095758552377,1.0,90.85095758552377,57.86085344626704,0.0,0.0,0.0,78.30882352940881,0.0,0.0,176.05095758552378
64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,19.646473004780887,1.0,19.646473004780887,38.214380441486156,0.0,0.0,0.0,162.46498599439482,0.0,0.0,193.6464730047809
65,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,14.9600827968776,1.0,14.9600827968776,23.254297644608556,0.0,0.0,0.0,162.46498599439482,0.0,0.0,188.9600827968776
66,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,23.254297644608556,1.0,23.254297644608556,0.0,0.0,0.0,0.0,162.46498599439482,0.0,0.0,197.25429764460856
67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,172.12549540239493,160.688509491496,1.071358857850122,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.688509491496,0.0,0.0,172.12549540239544
68,0.0,0.0,0.0,0.0,0.0,0.0,1.0,158.46999716488727,147.74713192149574,1.0739730861163117,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.74713192149574,0.0,0.0,158.46999716488727
69,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,62.10009371420472,1.0,0.0,0.0,-62.10009371420472,62.10009371420472,0.0,0.0,0.0,162.46498599439482,0.0,62.10009371420472,174.0
70,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,64.27514249650554,1.0,0.0,0.0,-64.27514249650554,126.37523621071026,0.0,0.0,0.0,162.46498599439482,0.0,64.27514249650554,174.0
71,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,65.09339900921393,1.0,0.0,0.0,-65.09339900921393,191.46863521992418,0.0,0.0,0.0,162.46498599439482,0.0,65.09339900921393,174.0
72,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,64.82455479800367,1.0,0.0,0.0,-64.82455479800367,256.2931900179278,0.0,0.0,0.0,162.46498599439482,0.0,64.82455479800367,174.0
73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,63.7089532992906,1.0,0.0,0.0,-63.7089532992906,320.00214331721844,0.0,0.0,0.0,162.46498599439482,0.0,63.7089532992906,174.0
74,0.0,0.0,0.0,0.0,0.0,0.0,1.0,130.44865239365976,121.19117648168933,1.079337532750443,1.0,0.0,0.0,1.0,0.0,0.0,0.0,320.00214331721844,0.0,0.0,0.0,121.19117648168933,0.0,0.0,130.4486523936603
75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,156.25529345980434,145.64824718256818,1.0743970721859786,1.0,0.0,0.0,0.0,97.0328705545823,1.0,97.0328705545823,222.96927276263614,0.0,0.0,0.0,145.64824718256818,0.0,0.0,253.28816401438664
76,0.0,0.0,0.0,0.0,0.0,0.0,1.0,165.8263107839417,154.71874367902427,1.0725647828333846,1.0,0.0,0.0,1.0,0.0,0.0,0.0,222.96927276263614,0.0,0.0,0.0,154.71874367902427,0.0,0.0,165.82631078394223
77,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,0.0,0.0,93.8382764686991,1.0,93.8382764686991,129.13099629393702,0.0,0.0,0.0,78.30882352940881,0.0,0.0,179.0382764686991
78,0.0,0.0,0.0,0.0,0.0,0.0,1.0,168.50833789730706,157.26051293001382,1.072051331696817,1.0,0.0,0.0,1.0,0.0,0.0,0.0,129.13099629393702,0.0,0.0,0.0,157.26051293001382,0.0,0.0,168.50833789730706
79,0.0,0.0,0.0,0.0,0.0,0.0,1.0,159.7646394082364,148.9740702431773,1.073725237939094,1.0,0.0,0.0,1.0,0.0,0.0,0.0,129.13099629393702,0.0,0.0,0.0,148.9740702431773,0.0,0.0,159.76463940823692
80,0.0,0.0,0.0,0.0,0.0,0.0,1.0,137.86316145613668,128.21794032470643,1.077918088447942,1.0,0.0,0.0,1.0,0.0,0.0,0.0,129.13099629393702,0.0,0.0,0.0,128.21794032470643,0.0,0.0,137.86316145613668
81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,128.212260608444,119.07173785092382,1.0797656708174326,1.0,0.0,0.0,1.0,0.0,0.0,0.0,129.13099629393702,0.0,0.0,0.0,119.07173785092382,0.0,0.0,128.2122606084446
82,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,64.04295946706132,1.0,0.0,0.0,-64.04295946706132,193.17395576099835,0.0,0.0,0.0,162.46498599439482,0.0,64.04295946706132,174.0
83,0.0,0.0,0.0,0.0,0.0,0.0,1.0,101.07744303686789,93.35594825620178,1.0849603994065857,1.0,0.0,0.0,1.0,0.0,0.0,0.0,193.17395576099835,0.0,0.0,0.0,93.35594825620178,0.0,0.0,101.07744303686842
84,0.0,0.0,0.0,0.0,0.0,0.0,1.0,95.59661095259466,88.16173884936163,1.0860096578010976,1.0,0.0,0.0,1.0,0.0,0.0,0.0,193.17395576099835,0.0,0.0,0.0,88.16173884936163,0.0,0.0,95.5966109525952
85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.32570635719028,83.16647867516915,1.0870187273745422,1.0,0.0,0.0,1.0,0.0,0.0,0.0,193.17395576099835,0.0,0.0,0.0,83.16647867516915,0.0,0.0,90.3257063571908
86,0.0,0.0,0.0,0.0,0.0,0.0,1.0,96.74650847346754,89.25150194153125,1.0857895197621916,1.0,0.0,0.0,1.0,0.0,0.0,0.0,193.17395576099835,0.0,0.0,0.0,89.25150194153125,0.0,0.0,96.74650847346804
87,0.0,0.0,0.0,0.0,0.0,0.0,1.0,102.66508087167506,94.86055982784131,1.0846564597310033,1.0,0.0,0.0,1.0,0.0,0.0,0.0,193.17395576099835,0.0,0.0,0.0,94.86055982784131,0.0,0.0,102.66508087167556
88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,123.32553188253804,114.4405628894412,1.0807011932086534,1.0,0.0,0.0,1.0,0.0,0.0,0.0,193.17395576099835,0.0,0.0,0.0,114.4405628894412,0.0,0.0,123.32553188253804
89,0.0,0.0,0.0,0.0,0.0,0.0,1.0,114.42528416154738,106.00575778599175,1.0824050694615457,1.0,0.0,0.0,1.0,0.0,0.0,0.0,193.17395576099835,0.0,0.0,0.0,106.00575778599175,0.0,0.0,114.42528416154738
90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,125.91524690401909,116.89484755256927,1.0802054144320186,1.0,0.0,0.0,1.0,0.0,0.0,0.0,193.17395576099835,0.0,0.0,0.0,116.89484755256927,0.0,0.0,125.91524690401964
91,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,62.74992941769962,1.0,0.0,0.0,-62.74992941769962,255.92388517869796,0.0,0.0,0.0,162.46498599439482,0.0,62.74992941769962,174.0
92,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.65214079631312,92.95288739524626,1.0850418198805658,1.0,0.0,0.0,1.0,0.0,0.0,0.0,255.92388517869796,0.0,0.0,0.0,92.95288739524626,0.0,0.0,100.6521407963136
93,1.0,37.218588640319346,117.03958691910495,68.0,0.5810000000228408,0.31799999998762635,0.0,0.0,0.0,0.0,0.0,0.0,68.60108516847788,1.0,0.0,0.0,-68.60108516847788,324.52497034717584,-74.43717728063869,0.0,74.43717728063869,117.03958691910495,0.0,68.60108516847788,136.0
