t,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,ngas_grid.gas_balance,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,19.646473004780887,1.0,19.646473004780887,38.214380441486156,0.0,0.0,0.0,162.46498599439482,0.0,0.0,193.6464730047809
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,14.9600827968776,1.0,14.9600827968776,23.254297644608556,0.0,0.0,0.0,162.46498599439482,0.0,0.0,188.9600827968776
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,23.254297644608556,1.0,23.254297644608556,0.0,0.0,0.0,0.0,162.46498599439482,0.0,0.0,197.25429764460856
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,172.12549540239544,160.6885094914965,1.071358857850122,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,160.6885094914965,0.0,0.0,172.12549540239544
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,158.46999716488727,147.74713192149574,1.0739730861163117,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,147.74713192149574,0.0,0.0,158.46999716488727
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,111.89990628579528,103.61244572746388,1.082888531442264,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.61244572746388,0.0,0.0,111.89990628579528
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,148.0870512275098,137.90716699839768,1.0759608122529718,1.0,0.0,38.362193724015334,1.0,0.0,0.0,-38.362193724015334,38.362193724015334,0.0,0.0,0.0,137.90716699839768,0.0,38.362193724015334,148.0870512275098
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,108.90660099078607,100.77567673293575,1.083461574122615,1.0,0.0,0.0,1.0,0.0,0.0,0.0,38.362193724015334,0.0,0.0,0.0,100.77567673293575,0.0,0.0,108.90660099078607
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,109.17544520199633,101.03046161037247,1.0834101061992978,1.0,0.0,0.0,1.0,0.0,0.0,0.0,38.362193724015334,0.0,0.0,0.0,101.03046161037247,0.0,0.0,109.17544520199633
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.4649859943712,1.070999999987973,1.0,0.0,63.70895329930882,1.0,0.0,0.0,-63.70895329926568,102.07114702328101,0.0,0.0,0.0,162.4649859943712,0.0,63.70895329930882,174.0
